,#,Name_with_Channel_id,FOLLOWERS,ER,COUNTRY,TOPIC OF INFLUENCE,POTENTIAL REACH,Name,ChannelId,subscriber_count,view_count,video_count
72,74,Showmax @UCrwTExTkzOhMYkisQRHC2rg,266K,-,South Africa,,79.8K,Showmax ,UCrwTExTkzOhMYkisQRHC2rg,529000,137466613,2927
73,75,Mr JazziQ @UCAdL_OJQ8El-Yxye0FE4jeQ,263K,2.3%,South Africa,,78.9K,Mr JazziQ ,UCAdL_OJQ8El-Yxye0FE4jeQ,358000,75094411,66
74,76,beautarie @UCkOpz7yI4B2BG9s0GhlHEYQ,261K,-,South Africa,,78.3K,beautarie ,UCkOpz7yI4B2BG9s0GhlHEYQ,289000,22621821,329
75,77,Johan Swanepoel @UCBjwqkvxKq_acOSLRMgzp9g,256K,-,South Africa,,76.8K,Johan Swanepoel ,UCBjwqkvxKq_acOSLRMgzp9g,301000,62830698,64
76,78,Mpoomy Ledwaba @UC72Q1TW6NVbcpt604NgX5KQ,254K,-,South Africa,Music,76.2K,Mpoomy Ledwaba ,UC72Q1TW6NVbcpt604NgX5KQ,310000,30764616,396
77,79,Cream Puff @UCVDPmj45l94H_bsum7mfnGw,254K,-,South Africa,,76.2K,Cream Puff ,UCVDPmj45l94H_bsum7mfnGw,246000,33858895,109
78,80,Wild Africa Adventure Films @UCbgAsqAJYbNW3RdgIfjy67g,247K,-,South Africa,,74.1K,Wild Africa Adventure Films ,UCbgAsqAJYbNW3RdgIfjy67g,266000,88545661,157
79,81,Built IRL @UC4gbCGiEov1VAcOFpfGKPiA,245K,-,South Africa,,73.5K,Built IRL ,UC4gbCGiEov1VAcOFpfGKPiA,266000,19439361,10
80,82,Kay Yarms @UCpEquK2QpZrwIFzxwnr9-Gg,244K,5.3%,South Africa,,73.2K,Kay Yarms ,UCpEquK2QpZrwIFzxwnr9-Gg,308000,29513292,220
81,83,Inkabi Records @UCqQFGn61VFpAODl5ZLiCGKA,235K,7.5%,South Africa,,70.5K,Inkabi Records ,UCqQFGn61VFpAODl5ZLiCGKA,512000,174114268,118
82,84,Xhosanostra TV @UCTKqP0KbvbRlnGKzcwfrWAw,235K,2.7%,South Africa,,70.5K,Xhosanostra TV ,UCTKqP0KbvbRlnGKzcwfrWAw,270000,10298095,25
83,86,Mzansi Fresh Dancers @UCSWAzxal9yd3RH15d0a9nNw,232K,0.6%,South Africa,,69.6K,Mzansi Fresh Dancers ,UCSWAzxal9yd3RH15d0a9nNw,546000,128824318,363
84,87,Game Drive Channel @UCMkrN4gjvV7zslL_Kl8tSCQ,231K,-,South Africa,,69.3K,Game Drive Channel ,UCMkrN4gjvV7zslL_Kl8tSCQ,243000,67890116,433
85,88,MUTHALAND TV @UCCvzuJsuwojJnSQwmUKan4Q,230K,-,South Africa,,69K,MUTHALAND TV ,UCCvzuJsuwojJnSQwmUKan4Q,254000,129754013,468
86,89,DStv @UCgK0ISOrgUkitGvKo4c9Wfg,230K,-,South Africa,,69K,DStv ,UCgK0ISOrgUkitGvKo4c9Wfg,379000,81759302,3940
87,90,Lesiba Mothupi @UChCc2cTYSxDjUafGQSRmaDw,225K,0.4%,South Africa,,67.5K,Lesiba Mothupi ,UChCc2cTYSxDjUafGQSRmaDw,275000,19132418,566
88,92,Tio Yado Humorista Arte Tv @UC8mfwn3nN1_vRnJ1s1HWnEQ,222K,-,South Africa,,66.6K,Tio Yado Humorista Arte Tv ,UC8mfwn3nN1_vRnJ1s1HWnEQ,296000,69353441,666
89,93,Koko Records @UCO-NoPS5l1g1cvbqp8lYHpQ,217K,1%,South Africa,,65.1K,Koko Records ,UCO-NoPS5l1g1cvbqp8lYHpQ,305000,134202743,154
90,94,Woodshop Junkies @UCzHueSosfT92NUVmhrz7Hjw,217K,1%,South Africa,,65.1K,Woodshop Junkies ,UCzHueSosfT92NUVmhrz7Hjw,259000,19210162,128
91,95,Sho Madjozi @UCkOVK-tMYtEITJkzsnm-uUg,215K,-,South Africa,,64.5K,Sho Madjozi ,UCkOVK-tMYtEITJkzsnm-uUg,240000,38044089,49
92,96,Elaine @UCjA1wdpqvS6yxHVdV1rxedQ,214K,-,South Africa,,64.2K,Elaine ,UCjA1wdpqvS6yxHVdV1rxedQ,257000,60294901,37
93,97,Tekweni @UC3t8OVRjPKHowGxmTzxs6qA,213K,-,South Africa,,63.9K,Tekweni ,UC3t8OVRjPKHowGxmTzxs6qA,230000,132806751,517
94,98,Detormentis @UCL5MgQS6VbE9DOwi-R5Vh6w,210K,-,South Africa,,63K,Detormentis ,UCL5MgQS6VbE9DOwi-R5Vh6w,286000,108222855,330
95,99,Mindset @UC_ayO9NLpGuhCvxnWZ0KwYw,208K,-,South Africa,,62.4K,Mindset ,UC_ayO9NLpGuhCvxnWZ0KwYw,270000,42771960,6825
96,100,BET International @UCZslbJ9Nu1TS4y6kqEtERXg,207K,-,South Africa,,62.1K,BET International ,UCZslbJ9Nu1TS4y6kqEtERXg,388000,87880873,3857
